Batch,Photoperiod,Time,Genotype,Starch,Maltose,Sucrose,Fructose,Glucose,Fumarate,Malate
1,LD,0.958333333,pwd,40.13758496,0.096718133,0.985601764,0.270937564,0.477631998,1.500502293,0.636770133
1,LD,0.958333333,pwd,39.64985011,0.064160494,0.903497939,0.190077825,0.26875543,1.685772387,1.085358633
1,LD,0.958333333,pwd,37.99381349,0.077895176,0.990264792,0.258302838,0.419244188,1.735648732,1.028909115
1,LD,1,pwd,41.60603319,0.089408384,1.075513308,0.690920442,0.600755034,1.472862771,0.68440696
1,LD,1,pwd,39.41523932,0.058212784,0.957506986,0.251878473,0.362159911,1.638353157,0.916072315
1,LD,1,pwd,39.45126529,0.05046253,0.762565166,0.300200099,0.329099416,1.328736649,0.802595876
1,LD,1,pwd,41.21713218,0.047146222,0.785521267,0.12477515,0.284338473,1.656888413,0.908365335
1,LD,1,pwd,38.55356744,0.084619323,1.011068491,0.35480389,0.550458902,1.499369321,0.793302067
1,SD,0,wt,4.947753885,0.038702572,0.301496922,0.03908631,0.183497036,0.682886995,0.202211367
1,SD,0,wt,4.508007425,0.051027739,0.398858465,0.060650864,0.29063002,0.824772065,0.246565362
1,SD,0,wt,4.710407758,0.056780545,0.506944512,0.054446599,0.251263203,0.635613209,0.181107167
1,SD,0.041666667,wt,12.32235324,0.037951733,1.515798558,0.274174934,0.381358017,0.900466596,0.398938522
1,SD,0.041666667,wt,13.39522206,0.020626591,1.484097178,0.399254247,0.671974475,1.586449195,0.81174171
1,SD,0.041666667,wt,12.13871161,0.041964422,1.536821787,0.301205289,0.529933966,0.831877508,0.160464321
1,SD,0.083333333,wt,20.89042975,0.044413309,1.353322982,0.874633275,1.214119073,1.614037704,0.670294545
1,SD,0.083333333,wt,18.96918559,0.040742939,1.171320065,0.829205603,1.133840145,1.581361991,0.676770169
1,SD,0.083333333,wt,20.66926924,0.043075097,1.191821887,0.840112243,1.093660841,1.674920287,0.51360671
1,SD,0.166666667,wt,38.44660878,0.028793601,0.942569646,0.298805408,0.78451505,2.270384674,0.926046864
1,SD,0.166666667,wt,34.37024443,0.033504073,1.039901944,0.348095925,0.87733911,1.977709739,1.099738937
1,SD,0.166666667,wt,37.73857018,0.038580292,1.171169753,0.385007945,0.992835228,2.586268544,0.967308685
1,SD,0.291666667,wt,53.80948157,0.024698447,0.797257346,0.078486492,0.401290256,2.191784699,0.947260724
1,SD,0.291666667,wt,50.78809299,0.02233965,0.852452844,0.104731344,0.457992111,2.83047862,1.232144186
1,SD,0.291666667,wt,51.82359638,0.021447284,0.735738572,0.150077055,0.455899815,2.53814148,1.043552385
1,SD,0.333333333,wt,55.96189615,0.017394109,0.670032816,0.075888873,0.296816216,2.291159258,0.715357037
1,SD,0.333333333,wt,53.53735822,0.01106141,0.33612675,0.054233151,0.178417041,1.620065489,0.989385726
1,SD,0.333333333,wt,54.14668323,0.009543722,0.292872116,0.043809934,0.135293232,1.33311899,0.801186403
1,SD,0.5,wt,39.33946078,0.038528582,0.631750705,0.043669049,0.141373561,1.149926987,0.466910699
1,SD,0.5,wt,33.45959596,0.045299012,0.775886004,0.055295355,0.185881746,1.220584346,0.487066547
1,SD,0.5,wt,38.39869281,0.050770934,0.805981639,0.053692779,0.186866544,1.44128426,0.544985912
1,SD,0.666666667,wt,33.22670188,0.033539297,0.496587306,0.03154014,0.113747698,1.120441089,0.400646914
1,SD,0.666666667,wt,26.39910131,0.066132767,0.919799201,0.0783903,0.30251278,1.401041058,0.511771518
1,SD,0.666666667,wt,33.37298155,0.047958332,0.738348023,0.033551086,0.129936098,0.864334828,0.382696809
1,SD,0.833333333,wt,14.30465137,0.055896481,0.514346675,0.062424951,0.288380819,0.539286441,0.176062209
1,SD,0.833333333,wt,15.46929587,0.047880005,0.462927849,0.051947735,0.227661119,0.519682652,0.142534495
1,SD,0.833333333,wt,12.98452907,0.137235699,1.507183987,0.158284034,0.654841896,1.099759246,0.282467216
1,SD,0.958333333,wt,6.231366816,0.046855935,0.441696505,0.046173558,0.197647079,0.691027604,0.255385021
1,SD,0.958333333,wt,5.857110551,0.026859207,0.236855829,0.015274605,0.069074656,0.27794664,0.094984208
1,SD,0.958333333,wt,6.304547282,0.058809171,0.553892087,0.054010618,0.308878155,0.547519109,0.192889467
1,SD,1,wt,6.810835335,0.018279299,0.232700982,0.030586987,0.108400914,0.469754888,0.168427064
1,SD,1,wt,5.412782336,0.027048611,0.237057852,0.020915114,0.134935064,0.773352536,0.234092661
1,SD,0,gwd,11.70633881,0.018053734,0.039570655,0.014121749,0.095709449,0.702442196,0.130177903
1,SD,0,gwd,5.246101189,0.018772045,0.034061899,0.023704639,0.089306712,0.502155715,0.095944321
